"","Cytoband","Coefficients","T_val","P_val","cnv_type","Event","Chromosome","Arm","ChrArm","-signedlog(P.adj)","cnv_status","TumorType","CellType"
"43","1q31.1",-0.0949964701702354,-0.68001713866327,0.498239089049977,"con","ALL","1","q","1q",0,1,"LUAD","B_cell"
"44","1q31.2",-0.103112781725271,-0.741614204858965,0.460251989297241,"con","ALL","1","q","1q",0,1,"LUAD","B_cell"
"45","1q32.1",-0.103077074162525,-0.753639387146466,0.453032912944245,"con","ALL","1","q","1q",0,1,"LUAD","B_cell"
"46","1q32.2",-0.105609733398935,-0.761274397037456,0.448483324071404,"con","ALL","1","q","1q",0,1,"LUAD","B_cell"
"47","1q32.3",-0.0951219362461308,-0.661405854211841,0.510041827304788,"con","ALL","1","q","1q",0,1,"LUAD","B_cell"
"48","1q41",-0.0685577134665873,-0.46539241990991,0.64277464598045,"con","ALL","1","q","1q",0,1,"LUAD","B_cell"
"49","1q42.11",-0.0595317000321921,-0.398784334598627,0.690996708699821,"con","ALL","1","q","1q",0,1,"LUAD","B_cell"
"50","1q42.12",-0.0399849593306606,-0.263607440825456,0.792685037095223,"con","ALL","1","q","1q",0,1,"LUAD","B_cell"
"51","1q42.13",-0.0207508327911543,-0.133301270246924,0.894252730170055,"con","ALL","1","q","1q",0,1,"LUAD","B_cell"
"52","1q42.2",-0.00796109254638633,-0.0505298890106418,0.959812108089268,"con","ALL","1","q","1q",0,1,"LUAD","B_cell"
"53","1q42.3",-0.00785956031037267,-0.0500473662682183,0.960195547058408,"con","ALL","1","q","1q",0,1,"LUAD","B_cell"
"54","1q43",-0.0205490549424414,-0.130525847663543,0.896441713514088,"con","ALL","1","q","1q",0,1,"LUAD","B_cell"
"55","1q44",-0.0283100069275697,-0.181625169785838,0.85628532648008,"con","ALL","1","q","1q",0,1,"LUAD","B_cell"
"56","2p25.3",0.543049286586687,2.08170200380251,0.0402092757035252,"con","ALL","2","p","2p",0,1,"LUAD","B_cell"
"57","2p25.1",0.668922553707313,2.30191368279146,0.02364755505655,"con","ALL","2","p","2p",0,1,"LUAD","B_cell"
"58","2p24.1",0.830934405527764,2.6113851940351,0.0105645197319173,"con","ALL","2","p","2p",0,1,"LUAD","B_cell"
