"","Cytoband","Coefficients","T_val","P_val","cnv_type","Event","Chromosome","Arm","ChrArm","-signedlog(P.adj)","cnv_status","TumorType"
"46","1q25.3",-1.65387654008306,-0.235097823476886,0.814782163367484,"con","ALL","1","q","1q",-0.0393523354119945,-1,"ACC"
"47","1q31.1",-4.56871316762999,-0.639219567752592,0.524653923000688,"con","ALL","1","q","1q",-0.155547408281661,-1,"ACC"
"48","1q31.2",-10.8970963888198,-1.8483410750374,0.0685483192863564,"con","ALL","1","q","1q",-0.671306548323842,1,"ACC"
"49","1q31.3",-9.64206211487975,-1.41583714521301,0.161018488435545,"con","ALL","1","q","1q",-0.479853836597696,1,"ACC"
"50","1q32.1",-8.7295089962525,-1.25065996566739,0.214998636939176,"con","ALL","1","q","1q",-0.415955302936074,-1,"ACC"
"51","1q32.2",-5.1966990845742,-0.729573797292354,0.467953859474372,"con","ALL","1","q","1q",-0.189130479460029,-1,"ACC"
"52","1q32.3",-5.27269043422736,-0.749400373494622,0.455991680582647,"con","ALL","1","q","1q",-0.195329671957445,-1,"ACC"
"53","1q41",-8.50757020156522,-1.21878911019314,0.22679537356656,"con","ALL","1","q","1q",-0.403535567894805,1,"ACC"
"54","1q42.11",-8.51545500766456,-1.22348288506123,0.225029017273928,"con","ALL","1","q","1q",-0.404184266301115,1,"ACC"
"55","1q42.12",-11.7075960200683,-1.61679625311719,0.110177662713086,"con","ALL","1","q","1q",-0.583050320138472,1,"ACC"
"56","1q42.13",-12.6180239293984,-1.73893739179661,0.0862043819736193,"con","ALL","1","q","1q",-0.619033458344921,1,"ACC"
"57","1q42.2",-11.8035991546112,-1.6273197357685,0.10792009241842,"con","ALL","1","q","1q",-0.58354595696301,1,"ACC"
"58","1q42.3",-10.9559881410389,-1.55849524839872,0.123382657102912,"con","ALL","1","q","1q",-0.559918041358217,1,"ACC"
